passenger_count,trip_count,average_fare,average_distance,trip_share
1,37476021,11.160826366011483,3.258054682987152,0.6939443850068544
2,8004688,11.790126859410385,3.4910486735880215,0.1482230008178229
3,2380495,11.49957080775217,3.3628164152085644,0.04407968334703655
4,1154398,11.714048023298723,3.420334628908439,0.02137601561711001
5,3838893,11.199092363345372,3.33027182949613,0.07108487429847792
6,1149799,12.111480093477207,3.3870800321866237,0.021290855823154126
7,13,35.67923076923077,5.168668171538931,2.4072131363916963e-07
8,7,37.04714285714285,3.502856257011024,1.2961916888262982e-07
9,21,39.96857142857143,4.591823216860872,3.888575066478894e-07
129,1,8.5,1.394160667002802,1.8517024126089974e-08
208,22,4.927272727272727,0.004521647973600305,4.0737453077397937e-07
