check,count,percentage
total_rows,54004358,100.0
eligible_rows,54003614,99.99862233340502
fare_below_2_5,680,0.0012591576405741182
passenger_below_1,0,0.0
passenger_above_6,64,0.00011850895440697584
zero_distance,557212,1.0317908047346847
near_zero_distance_le_0_1,870955,1.6127494747738693
missing_rows,0,0.0
nonfinite_rows,0,0.0
coordinate_violations,0,0.0
temporal_violations,0,0.0
weekend_consistency_violations,0,0.0
distance_above_20,633221,1.1725368534146818
distance_above_30,4582,0.008484500454574426
fare_above_100,10505,0.019452133844457518
fare_above_200,427,0.0007906769301840418
excluded_rows,744,0.001377666594981094
