,trip_distance,pickup_hour,day_of_week,is_weekend,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount
trip_distance,1.0,-0.03033174011737684,0.015454468055245897,0.019172321749331634,0.01184006539507453,0.43609862091986684,-0.2427757576853815,0.3591523341902412,-0.15469111073364628,0.8535216239142671
pickup_hour,-0.03033174011737684,1.0,-0.08662493808089747,-0.09334023454090398,0.020460716541324753,0.019652880288997254,0.025538326140487403,-0.04995461628751933,0.016125667010250946,-0.019985919664150014
day_of_week,0.015454468055245897,-0.08662493808089747,1.0,0.7811343931444836,0.03842991667791793,-0.023434011666010945,-0.038296348883328675,-0.0007734631541208504,-0.025908901553880165,0.002302511037746696
is_weekend,0.019172321749331634,-0.09334023454090398,0.7811343931444836,1.0,0.04090482332729721,-0.019418630964343372,-0.04006983685638523,-0.0012488017670307823,-0.023924094116730105,-0.004206089645426215
passenger_count,0.01184006539507453,0.020460716541324753,0.03842991667791793,0.04090482332729721,1.0,-0.00045233131881281923,-0.007799785961223184,-0.003328407329917987,-0.0028156987530081916,0.013191075716689626
pickup_longitude,0.43609862091986684,0.019652880288997254,-0.023434011666010945,-0.019418630964343372,-0.00045233131881281923,1.0,-0.04214532145280176,0.3001932921646897,0.04538018865348002,0.4186936987917527
pickup_latitude,-0.2427757576853815,0.025538326140487403,-0.038296348883328675,-0.04006983685638523,-0.007799785961223184,-0.04214532145280176,1.0,0.055031520024362915,0.42455286415902177,-0.21416637929079452
dropoff_longitude,0.3591523341902412,-0.04995461628751933,-0.0007734631541208504,-0.0012488017670307823,-0.003328407329917987,0.3001932921646897,0.055031520024362915,1.0,0.1393294061235257,0.2983616700665418
dropoff_latitude,-0.15469111073364628,0.016125667010250946,-0.025908901553880165,-0.023924094116730105,-0.0028156987530081916,0.04538018865348002,0.42455286415902177,0.1393294061235257,1.0,-0.17347204217169057
fare_amount,0.8535216239142671,-0.019985919664150014,0.002302511037746696,-0.004206089645426215,0.013191075716689626,0.4186936987917527,-0.21416637929079452,0.2983616700665418,-0.17347204217169057,1.0
